date,canonical_theme,raw_labels,limitup_member_count,member_adv_ratio,member_median_ret,member_mean_ret,member_mean_ret_1000,turnover_share,board_height,ladder_depth,early_limit_touch_ratio,pit_timestamped_corroborated,lianban_semantic_vote,source_votes,persistence_3d,persistence_5d,followthrough_prev_theme_ret,followthrough_prev_theme_winrate,followthrough_prev_theme_bigloss,theme_score,theme_rank,lifecycle_stage
2026-07-07,机器人,机器人概念|物理AI,9,1.0,0.10002751788662634,0.09999117162133946,0.08080466489814218,0.0012959763229342058,2.0,2,0.7777777777777778,False,False,1,3,5,-0.07283046427002075,0.0,1.0,0.46499999999999997,4,发酵
2026-07-07,机器视觉,机器视觉,3,1.0,0.09994222992489887,0.09989589371092444,0.09989589371092444,0.000844485438388625,2.0,2,1.0,False,False,1,1,1,,,,0.47000000000000003,3,启动
2026-07-07,汽车,汽车零部件,2,1.0,0.09996503350786079,0.09996503350786079,0.09996503350786079,0.000305173763128188,1.0,1,1.0,False,False,1,2,2,,,,0.43999999999999995,5,分歧
2026-07-07,电源,电源,2,1.0,0.1999763649255495,0.1999763649255495,0.1704891854383701,0.00024914014317619715,1.0,1,0.5,False,False,1,1,1,,,,0.3425,9,启动
2026-07-07,硅片,硅片,2,1.0,0.14990019960079837,0.14990019960079837,0.13506640814599657,0.0028294093026206136,1.0,1,0.5,False,False,1,1,1,,,,0.41375,6,启动
2026-07-07,通信,通信,2,1.0,0.1999763649255495,0.1999763649255495,0.1704891854383701,0.00024914014317619715,1.0,1,0.5,False,False,1,2,3,-0.03113837440810145,0.3333333333333333,0.5,0.4075,8,分歧
2026-07-21,半导体,先进封装|半导体设备|芯片,30,1.0,0.1999832625959751,0.1666722668599747,-0.009738794098901837,0.04477236563817207,1.0,1,0.03333333333333333,True,False,2,1,1,,,,0.5377777777777777,2,回流
2026-07-21,印制电路板,印制电路板,6,1.0,0.10001262148176193,0.1332535514951332,-0.018216993067409832,0.001922677114020326,1.0,1,0.0,False,False,1,1,1,,,,0.3194444444444444,9,启动
2026-07-21,地产,地产链,5,1.0,0.10000000000000009,0.12006621409325743,-0.00751797399139198,0.0014072463680720893,1.0,1,0.2,False,False,1,1,2,,,,0.3902777777777778,7,发酵
2026-07-21,存储芯片,存储,7,1.0,0.10000000000000009,0.1142988003736467,-0.04412205431141119,0.023520076017106605,1.0,1,0.0,True,False,2,1,1,,,,0.4794444444444445,4,分歧
2026-07-21,机器人,机器人概念,8,1.0,0.10005393338445234,0.12499099233669039,-0.011402010542444926,0.0014036875716784373,1.0,1,0.0,False,False,1,2,4,-0.002388420933510993,0.5,0.5,0.3277777777777777,8,发酵
2026-07-21,氧化锆,氧化锆,7,1.0,0.10005252100840334,0.12855460063890925,0.02198357703657456,0.004561897693316049,1.0,1,0.2857142857142857,False,False,1,1,1,,,,0.4444444444444444,5,启动
2026-07-21,算力硬件,光模块|算力,20,1.0,0.10006665966209771,0.12010346578378547,0.016689412413631553,0.009825882404039792,2.0,2,0.3,True,False,2,2,4,0.05574930109787855,0.6666666666666666,0.0,0.7877777777777776,1,高潮
2026-07-21,通信,通信,13,1.0,0.10076335877862608,0.13861552495270146,0.0061614935635209995,0.008262411066049595,2.0,2,0.15384615384615385,False,False,1,1,2,,,,0.5319444444444443,3,回流
2026-07-21,非金属材料,非金属材料,8,1.0,0.10005245222761705,0.1249852755590456,0.012423129907002742,0.005071424303996299,1.0,1,0.25,False,False,1,1,1,,,,0.4361111111111111,6,启动
2026-07-27,印制电路板,印制电路板,5,1.0,0.09992810927390372,0.09991757837315962,0.06428307010572185,0.003940419392857942,1.0,1,0.2,False,False,1,1,2,,,,0.38,7,启动
2026-07-27,实控人变更,实控人变更,3,1.0,0.0998080614203456,0.09970067601474075,0.09970067601474075,0.00027034853131306636,1.0,1,1.0,False,False,1,1,1,,,,0.37250000000000005,8,发酵
2026-07-27,并购重组,并购重组,7,1.0,0.10000000000000009,0.12848500175457267,0.11452791014819559,0.0008613106357163964,5.0,3,0.5714285714285714,False,False,1,3,3,0.041807755518171716,0.7,0.0,0.55625,2,确认
2026-07-27,机器人,机器人概念,8,1.0,0.10013107725513015,0.1001155355159763,0.0850239643323415,0.0007537106573559147,1.0,1,0.625,True,False,2,2,3,,,,0.525,4,确认
2026-07-27,电力电网,智能电网|绿色电力,10,1.0,0.10031035907488006,0.10020665861806288,0.07685421500975571,0.0032615868500848757,3.0,3,0.6,True,False,2,2,3,,,,0.63375,1,高潮
2026-07-27,电阻电容,电阻电容,6,1.0,0.09998299961940738,0.09996871806295478,0.05954379004112812,0.006205527144755124,1.0,1,0.16666666666666666,False,False,1,1,1,,,,0.37250000000000005,8,启动
2026-07-27,端侧AI,端侧AI,4,1.0,0.10032518088848152,0.10029191076386618,0.04685972822753981,0.0009024775480270556,1.0,1,0.25,False,False,1,1,1,,,,0.30500000000000005,10,分歧
2026-07-27,算力硬件,算力,13,1.0,0.09987669543773126,0.1153006060034534,0.07384874705285852,0.004705870574966789,5.0,2,0.38461538461538464,False,False,1,2,4,,,,0.55625,2,发酵
2026-07-27,脑机接口,脑机接口,7,1.0,0.10014727540500723,0.11430799702962717,0.0917768373210756,0.0014157225108700267,1.0,1,0.5714285714285714,False,False,1,1,1,,,,0.39875000000000005,6,发酵
2026-07-27,通信,通信,9,1.0,0.09992810927390372,0.11094539243049084,0.08092388257423264,0.007723629923373695,1.0,1,0.4444444444444444,False,False,1,1,2,,,,0.47000000000000003,5,启动
